PlayStation 3 , 145078 , 45088214 , 310.79 , 2011-07-01 00:00:00
PlayStation Portable , 63617 , 8865832 , 139.36 , 2011-07-01 00:00:00
Wii , 187667 , 27941441 , 148.89 , 2011-07-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-07-01 00:00:00
Xbox 360 , 276049 , 76608556 , 277.52 , 2011-07-01 00:00:00
Dreamcast , 30 , 2647 , 88.99 , 2010-08-01 00:00:00
Game Boy Advance , 16 , 1011 , 63.21 , 2010-08-01 00:00:00
GameCube , 14 , 847 , 58.64 , 2010-08-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-08-01 00:00:00
Nintendo DS , 341453 , 54535915 , 159.72 , 2010-08-01 00:00:00
PlayStation , 6 , 208 , 35.0 , 2010-08-01 00:00:00
PlayStation 2 , 76042 , 7485317 , 98.44 , 2010-08-01 00:00:00
PlayStation 3 , 225561 , 70728029 , 313.56 , 2010-08-01 00:00:00
PlayStation Portable , 79567 , 14446818 , 181.57 , 2010-08-01 00:00:00
Wii , 242987 , 47753901 , 196.53 , 2010-08-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-08-01 00:00:00
Xbox 360 , 356023 , 86464855 , 242.86 , 2010-08-01 00:00:00
Game Boy Advance , 4 , 108 , 30.88 , 2011-08-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-08-01 00:00:00
GameCube , 3 , 194 , 64.66 , 2011-08-01 00:00:00
Nintendo 3DS , 240419 , 41597683 , 173.02 , 2011-08-01 00:00:00
Nintendo DS , 166756 , 22729161 , 136.3 , 2011-08-01 00:00:00
PlayStation 2 , 8924 , 875774 , 98.14 , 2011-08-01 00:00:00
PlayStation 3 , 216672 , 63158398 , 291.49 , 2011-08-01 00:00:00
PlayStation Portable , 70660 , 9371978 , 132.63 , 2011-08-01 00:00:00
PlayStation Vita , 0 , 0 , 0.0 , 2011-08-01 00:00:00
Wii , 189236 , 26926181 , 142.29 , 2011-08-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-08-01 00:00:00
Xbox 360 , 307211 , 83910974 , 273.14 , 2011-08-01 00:00:00
Dreamcast , 22 , 1967 , 88.99 , 2010-09-01 00:00:00
Game Boy Advance , 20 , 1119 , 55.94 , 2010-09-01 00:00:00
GameCube , 26 , 1531 , 60.02 , 2010-09-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-09-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-09-01 00:00:00
Nintendo DS , 402336 , 62633275 , 155.67 , 2010-09-01 00:00:00
PlayStation , 3 , 63 , 24.62 , 2010-09-01 00:00:00
PlayStation 2 , 61280 , 6089220 , 99.37 , 2010-09-01 00:00:00
PlayStation 3 , 310743 , 103557892 , 333.26 , 2010-09-01 00:00:00
PlayStation Portable , 106137 , 19718254 , 185.78 , 2010-09-01 00:00:00
Wii , 253175 , 50525257 , 199.57 , 2010-09-01 00:00:00
Xbox , 1 , 127 , 127.49 , 2010-09-01 00:00:00
Xbox 360 , 484075 , 136958650 , 282.93 , 2010-09-01 00:00:00
Game Boy , 0 , 0 , 0.0 , 2011-09-01 00:00:00
